race_id,date,season,location,availablecompounds,comment,nolaps,nolapsplanned,tracklength
1,3/16/2014,2014,Melbourne,"A2,A3,I,W",null,57,58,5303
2,3/30/2014,2014,KualaLumpur,"A1,A2,I,W",null,56,56,5543
3,4/6/2014,2014,Sakhir,"A2,A3,I,W","Crash GUT in lap 41, SC somewhen in the end of lap 41 or beginning of lap 42",57,57,5412
4,4/20/2014,2014,Shanghai,"A2,A3,I,W",null,54,56,5451
5,5/11/2014,2014,Catalunya,"A1,A2,I,W",null,66,66,4655
6,5/25/2014,2014,MonteCarlo,"A3,A4,I,W",null,78,78,3337
7,6/8/2014,2014,Montreal,"A3,A4,I,W",Race finished behind SC,70,70,4361
8,6/22/2014,2014,Spielberg,"A3,A4,I,W",null,71,71,4318
9,7/6/2014,2014,Silverstone,"A1,A2,I,W","RAI crashed into barrier in lap 1, race was interrupted for 1 hour (at 116s t_race) to repair the barrier between lap 1/2, cars standing in grid in the meanwhile, restart behind SC in lap 2",52,52,5891
10,7/20/2014,2014,Hockenheim,"A3,A4,I,W",null,67,67,4574
11,7/27/2014,2014,Budapest,"A2,A3,I,W",Wet in the beginning,70,70,4381
12,8/24/2014,2014,Spa,"A2,A3,I,W",null,44,44,7004
13,9/7/2014,2014,Monza,"A1,A2,I,W",null,53,53,5793
14,9/21/2014,2014,Singapore,"A3,A4,I,W",null,60,61,5063
15,10/5/2014,2014,Suzuka,"A1,A2,I,W","Wet race, start behind SC, race interrupted in lap 2/3 for 15 minutes (in the pit), restart behind SC, race finally interrupted after lap 46, race officially ended after lap 44",44,53,5807
16,10/12/2014,2014,Sochi,"A2,A3,I,W",null,53,53,5848
17,11/2/2014,2014,Austin,"A2,A3,I,W",null,56,56,5513
18,11/9/2014,2014,SaoPaulo,"A2,A3,I,W",null,71,71,4309
19,11/23/2014,2014,YasMarina,"A3,A4,I,W",null,55,55,5554
20,3/15/2015,2015,Melbourne,"A2,A3,I,W",null,58,58,5303
21,3/29/2015,2015,KualaLumpur,"A1,A2,I,W",null,56,56,5543
22,4/12/2015,2015,Shanghai,"A2,A3,I,W",Race finished behind SC,56,56,5451
23,4/19/2015,2015,Sakhir,"A2,A3,I,W",null,57,57,5412
24,5/10/2015,2015,Catalunya,"A1,A2,I,W",null,66,66,4655
25,5/24/2015,2015,MonteCarlo,"A3,A4,I,W",SC followed directly on VSC,78,78,3337
26,6/7/2015,2015,Montreal,"A3,A4,I,W",null,70,70,4361
27,6/21/2015,2015,Spielberg,"A3,A4,I,W",null,71,71,4318
28,7/5/2015,2015,Silverstone,"A1,A2,I,W",Rain in the end,52,52,5891
29,7/26/2015,2015,Budapest,"A2,A3,I,W","SC followed directly on VSC, SC through pit lane",69,70,4381
30,8/23/2015,2015,Spa,"A2,A3,I,W",null,43,44,7004
31,9/6/2015,2015,Monza,"A2,A3,I,W",null,53,53,5793
32,9/20/2015,2015,Singapore,"A3,A4,I,W",SC followed directly on VSC,61,61,5063
33,9/27/2015,2015,Suzuka,"A1,A2,I,W",null,53,53,5807
34,10/11/2015,2015,Sochi,"A3,A4,I,W",null,53,53,5848
35,10/25/2015,2015,Austin,"A2,A3,I,W",Rain in the beginning,56,56,5513
36,11/1/2015,2015,MexicoCity,"A2,A3,I,W",null,71,71,4304
37,11/15/2015,2015,SaoPaulo,"A2,A3,I,W",null,71,71,4309
38,11/29/2015,2015,YasMarina,"A3,A4,I,W",null,55,55,5554
39,3/20/2016,2016,Melbourne,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303
40,4/3/2016,2016,Sakhir,"A2,A3,A4,I,W",null,57,57,5412
41,4/17/2016,2016,Shanghai,"A2,A3,A4,I,W",null,56,56,5451
42,5/1/2016,2016,Sochi,"A2,A3,A4,I,W",SC followed directly on VSC,53,53,5848
43,5/15/2016,2016,Catalunya,"A1,A2,A3,I,W",null,66,66,4655
44,5/29/2016,2016,MonteCarlo,"A3,A4,A5,I,W",Start behind SC because of rain,78,78,3337
45,6/12/2016,2016,Montreal,"A3,A4,A5,I,W",null,70,70,4361
46,6/19/2016,2016,Baku,"A2,A3,A4,I,W",null,51,51,6003
47,7/3/2016,2016,Spielberg,"A3,A4,A5,I,W",SC through pit lane,71,71,4318
48,7/10/2016,2016,Silverstone,"A1,A2,A3,I,W",Start behind SC because of rain,52,52,5891
49,7/24/2016,2016,Budapest,"A2,A3,A4,I,W",null,70,70,4381
50,7/31/2016,2016,Hockenheim,"A2,A3,A4,I,W",null,67,67,4574
51,8/28/2016,2016,Spa,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",44,44,7004
52,9/4/2016,2016,Monza,"A2,A3,A4,I,W",null,53,53,5793
53,9/18/2016,2016,Singapore,"A3,A4,A5,I,W",SC through pit lane,61,61,5063
54,10/2/2016,2016,KualaLumpur,"A1,A2,A3,I,W",null,56,56,5543
55,10/9/2016,2016,Suzuka,"A1,A2,A3,I,W",null,53,53,5807
56,10/23/2016,2016,Austin,"A2,A3,A4,I,W",null,56,56,5513
57,10/30/2016,2016,MexicoCity,"A2,A3,A4,I,W",SC followed directly on VSC,71,71,4304
58,11/13/2016,2016,SaoPaulo,"A1,A2,A3,I,W","Wet race, start behind SC because of rain, red flag in lap 20/21, restart behind SC, red flag in lap 28/29",71,71,4309
59,11/27/2016,2016,YasMarina,"A3,A4,A5,I,W",null,55,55,5554
60,3/26/2017,2017,Melbourne,"A3,A4,A5,I,W",null,57,58,5303
61,4/9/2017,2017,Shanghai,"A2,A3,A4,I,W","Slightly wet in the beginning, SC through pit lane",56,56,5451
62,4/16/2017,2017,Sakhir,"A2,A3,A4,I,W",null,57,57,5412
63,4/30/2017,2017,Sochi,"A3,A4,A5,I,W",null,52,53,5848
64,5/14/2017,2017,Catalunya,"A1,A2,A3,I,W",null,66,66,4655
65,5/28/2017,2017,MonteCarlo,"A3,A4,A5,I,W",null,78,78,3337
66,6/11/2017,2017,Montreal,"A3,A4,A5,I,W",null,70,70,4361
67,6/25/2017,2017,Baku,"A2,A3,A4,I,W","SC through pit lane in lap 17, second SC, then red flag in lap 22/23, restart behind SC",51,51,6003
68,7/9/2017,2017,Spielberg,"A3,A4,A5,I,W",null,71,71,4318
69,7/16/2017,2017,Silverstone,"A2,A3,A4,I,W",null,51,52,5891
70,7/30/2017,2017,Budapest,"A2,A3,A4,I,W",null,70,70,4381
71,8/27/2017,2017,Spa,"A3,A4,A5,I,W",null,44,44,7004
72,9/3/2017,2017,Monza,"A2,A3,A4,I,W",null,53,53,5793
73,9/17/2017,2017,Singapore,"A3,A4,A5,I,W","Wet at the start, first SC through pit lane",58,61,5063
74,10/1/2017,2017,KualaLumpur,"A2,A3,A4,I,W",null,56,56,5543
75,10/8/2017,2017,Suzuka,"A2,A3,A4,I,W",null,53,53,5807
76,10/22/2017,2017,Austin,"A3,A4,A5,I,W",null,56,56,5513
77,10/29/2017,2017,MexicoCity,"A3,A4,A5,I,W",null,71,71,4304
78,11/12/2017,2017,SaoPaulo,"A2,A3,A4,I,W",SC through pit lane,71,71,4309
79,11/26/2017,2017,YasMarina,"A3,A4,A5,I,W",null,55,55,5554
80,3/25/2018,2018,Melbourne,"A4,A5,A6,I,W",null,58,58,5303
81,4/8/2018,2018,Sakhir,"A3,A4,A5,I,W",null,57,57,5412
82,4/15/2018,2018,Shanghai,"A3,A4,A6,I,W",null,56,56,5451
83,4/29/2018,2018,Baku,"A4,A5,A6,I,W",null,51,51,6003
84,5/13/2018,2018,Catalunya,"A3,A4,A5,I,W",null,66,66,4655
85,5/27/2018,2018,MonteCarlo,"A5,A6,A7,I,W",null,78,78,3337
86,6/10/2018,2018,Montreal,"A5,A6,A7,I,W",null,68,70,4361
87,6/24/2018,2018,LeCastellet,"A4,A5,A6,I,W",null,53,53,5842
88,7/1/2018,2018,Spielberg,"A4,A5,A6,I,W",null,71,71,4318
89,7/8/2018,2018,Silverstone,"A2,A3,A4,I,W",null,52,52,5891
90,7/22/2018,2018,Hockenheim,"A3,A4,A6,I,W",Wet race,67,67,4574
91,7/29/2018,2018,Budapest,"A3,A4,A6,I,W",null,70,70,4381
92,8/26/2018,2018,Spa,"A3,A4,A5,I,W",SC through pit lane,44,44,7004
93,9/2/2018,2018,Monza,"A3,A4,A5,I,W",null,53,53,5793
94,9/16/2018,2018,Singapore,"A4,A6,A7,I,W",null,61,61,5063
95,9/30/2018,2018,Sochi,"A4,A6,A7,I,W",null,53,53,5848
96,10/7/2018,2018,Suzuka,"A3,A4,A5,I,W",null,53,53,5807
97,10/21/2018,2018,Austin,"A4,A5,A6,I,W",null,56,56,5513
98,10/28/2018,2018,MexicoCity,"A5,A6,A7,I,W",null,71,71,4304
99,11/11/2018,2018,SaoPaulo,"A3,A4,A5,I,W",null,71,71,4309
100,11/25/2018,2018,YasMarina,"A5,A6,A7,I,W",null,55,55,5554
101,3/17/2019,2019,Melbourne,"A3,A4,A6,I,W",null,58,58,5303
102,3/31/2019,2019,Sakhir,"A2,A3,A4,I,W",Race finished behind SC,57,57,5412
103,4/14/2019,2019,Shanghai,"A3,A4,A6,I,W",null,56,56,5451
104,4/28/2019,2019,Baku,"A3,A4,A6,I,W",null,51,51,6003
105,5/12/2019,2019,Catalunya,"A2,A3,A4,I,W",null,66,66,4655
106,5/26/2019,2019,MonteCarlo,"A4,A6,A7,I,W",null,78,78,3337
107,6/9/2019,2019,Montreal,"A4,A6,A7,I,W",null,70,70,4361
108,6/23/2019,2019,LeCastellet,"A3,A4,A6,I,W",null,53,53,5842
109,6/30/2019,2019,Spielberg,"A3,A4,A6,I,W",null,71,71,4318
110,7/14/2019,2019,Silverstone,"A2,A3,A4,I,W",null,52,52,5891
111,7/28/2019,2019,Hockenheim,"A3,A4,A6,I,W",Wet race,64,67,4574
112,8/4/2019,2019,Budapest,"A3,A4,A6,I,W",null,70,70,4381
113,9/1/2019,2019,Spa,"A2,A3,A4,I,W",null,44,44,7004
114,9/8/2019,2019,Monza,"A3,A4,A6,I,W",null,53,53,5793
115,9/22/2019,2019,Singapore,"A4,A6,A7,I,W",null,61,61,5063
116,9/29/2019,2019,Sochi,"A3,A4,A6,I,W",null,53,53,5848
117,10/13/2019,2019,Suzuka,"A2,A3,A4,I,W",null,52,53,5807
118,10/27/2019,2019,MexicoCity,"A3,A4,A6,I,W",null,71,71,4304
119,11/3/2019,2019,Austin,"A3,A4,A6,I,W",null,56,56,5513
120,11/17/2019,2019,SaoPaulo,"A2,A3,A4,I,W",null,71,71,4309
121,12/1/2019,2019,YasMarina,"A4,A6,A7,I,W",null,55,55,5554
